epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,2405.13,0.41051,0.66872,1.04393,0.97717,0.94133,0.95356,0.93809,0.33206,0.60835,0.48027,0.00057302,0.00057302,0.00057302
55,2444.35,0.43721,0.69853,1.07286,0.99587,0.94125,0.96752,0.92056,0.38073,0.62791,0.51174,0.0005537,0.0005537,0.0005537
56,2481.22,0.40967,0.62636,1.04396,0.98374,0.9418,0.97184,0.93331,0.39035,0.63859,0.50769,0.000534456,0.000534456,0.000534456
57,2517.15,0.40709,0.66058,1.04878,0.97533,0.89541,0.97091,0.94867,0.37178,0.65747,0.48899,0.000515308,0.000515308,0.000515308
58,2553.64,0.42359,0.65057,1.06004,0.88227,0.96922,0.96881,0.94258,0.39296,0.64255,0.49321,0.000496274,0.000496274,0.000496274
59,2591.55,0.38332,0.63821,1.03121,0.96987,0.95833,0.95615,0.95615,0.32871,0.57872,0.46963,0.000477373,0.000477373,0.000477373
60,2631.61,0.40275,0.63729,1.05273,0.96439,0.94658,0.95748,0.95655,0.29881,0.55095,0.4668,0.000458624,0.000458624,0.000458624
61,2675.34,0.35944,0.56565,1.02762,0.96102,0.95833,0.97691,0.94557,0.36084,0.52177,0.49178,0.000440046,0.000440046,0.000440046
62,2723.11,0.37401,0.59409,1.03062,0.95501,0.95833,0.97731,0.94154,0.33703,0.5462,0.47572,0.000421656,0.000421656,0.000421656
63,2765.15,0.38294,0.5879,1.04313,0.95728,0.95833,0.97592,0.95901,0.30008,0.50271,0.45352,0.000403473,0.000403473,0.000403473
64,2806.38,0.3656,0.59598,1.03608,0.95572,0.95833,0.97679,0.92794,0.36758,0.50576,0.48113,0.000385515,0.000385515,0.000385515
65,2849.37,0.39883,0.64771,1.04946,0.95366,0.95833,0.96948,0.90668,0.39911,0.5423,0.49677,0.000367799,0.000367799,0.000367799
66,2894.12,0.3756,0.59569,1.03547,0.95237,0.95833,0.9664,0.91229,0.38424,0.55851,0.49015,0.000350343,0.000350343,0.000350343
67,2938.92,0.39749,0.64239,1.05602,0.96947,0.95833,0.98251,0.95622,0.36901,0.52512,0.48722,0.000333165,0.000333165,0.000333165
68,2976.96,0.33688,0.5346,1.01156,0.97175,0.95924,0.99346,0.95938,0.38622,0.51632,0.49922,0.000316281,0.000316281,0.000316281
69,3022.2,0.34945,0.58322,1.02717,0.96162,0.95885,0.9906,0.96879,0.36067,0.54571,0.48429,0.000299707,0.000299707,0.000299707
70,3065.02,0.35794,0.54923,1.02971,0.95204,0.94606,0.96155,0.95344,0.29468,0.58035,0.45242,0.000283461,0.000283461,0.000283461
71,3105.35,0.35788,0.5532,1.01762,0.94749,0.95341,0.95724,0.95431,0.28094,0.55291,0.4417,0.000267558,0.000267558,0.000267558
72,3148.13,0.39613,0.61513,1.04718,0.9497,0.94898,0.95206,0.9445,0.30701,0.57957,0.45141,0.000252014,0.000252014,0.000252014
73,3185,0.3516,0.54313,1.01883,0.95077,0.94536,0.95177,0.93141,0.30909,0.59713,0.45423,0.000236844,0.000236844,0.000236844
74,3223.62,0.37235,0.57344,1.03225,0.94484,0.9418,0.95179,0.9333,0.29801,0.59787,0.45105,0.000222063,0.000222063,0.000222063
75,3261.97,0.39997,0.63765,1.05242,0.94947,0.94139,0.95303,0.92975,0.31178,0.59096,0.45781,0.000207686,0.000207686,0.000207686
76,3299.11,0.36298,0.58383,1.02914,0.94942,0.94468,0.95293,0.92082,0.34246,0.58205,0.47529,0.000193728,0.000193728,0.000193728
77,3337.38,0.30842,0.50527,0.99682,0.95097,0.94147,0.95298,0.92122,0.33007,0.57054,0.46881,0.000180201,0.000180201,0.000180201
78,3373.07,0.32526,0.52294,1.00398,0.95646,0.95833,0.95499,0.92541,0.32866,0.53949,0.46631,0.000167119,0.000167119,0.000167119
79,3409.59,0.32656,0.54202,1.01665,0.95625,0.95833,0.95713,0.93331,0.32881,0.53149,0.46429,0.000154495,0.000154495,0.000154495
80,3446.23,0.32725,0.52465,1.0088,0.95881,0.95833,0.95835,0.93831,0.33082,0.53386,0.46371,0.000142342,0.000142342,0.000142342
81,3482.89,0.33045,0.54189,1.01848,0.96039,0.95833,0.96414,0.94461,0.31235,0.50452,0.45331,0.000130671,0.000130671,0.000130671
82,3521.55,0.31393,0.50092,1.00427,0.96063,0.95833,0.96599,0.95262,0.29774,0.49851,0.44527,0.000119494,0.000119494,0.000119494
83,3560.16,0.34789,0.53745,1.01935,0.95975,0.95833,0.96324,0.94327,0.3098,0.50815,0.45001,0.000108822,0.000108822,0.000108822
84,3599.91,0.34634,0.56992,1.02471,0.95899,0.95833,0.96458,0.94642,0.32068,0.51785,0.45345,9.86659e-05,9.86659e-05,9.86659e-05
85,3638.58,0.34719,0.55531,1.02493,0.95859,0.95833,0.96737,0.94749,0.32498,0.52252,0.45409,8.90352e-05,8.90352e-05,8.90352e-05
86,3675.42,0.33713,0.55758,1.01983,0.95649,0.95833,0.9705,0.95139,0.32158,0.52447,0.45193,7.99397e-05,7.99397e-05,7.99397e-05
87,3714.08,0.33691,0.54232,1.01057,0.95686,0.95833,0.97503,0.94651,0.32101,0.50763,0.45261,7.13883e-05,7.13883e-05,7.13883e-05
88,3750.92,0.32916,0.53124,1.00797,0.95729,0.95833,0.97692,0.95231,0.31861,0.50459,0.45359,6.33893e-05,6.33893e-05,6.33893e-05
89,3788.51,0.32836,0.55115,1.0096,0.9584,0.95833,0.97428,0.94913,0.31165,0.5091,0.45086,5.59508e-05,5.59508e-05,5.59508e-05
